charite_doi,reusing_paper_doi,publication_year,authors,publication_year_reusing,authors_reusing
10.1038/s41597-019-0254-8,10.1038/s41467-022-34510-3,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2022,Ana Sofía Ríos;Simón Oxenford;Clemens Neudorfer;Konstantin Butenko;Ningfei Li;Nanditha Rajamani;Alexandre Boutet;Gavin J.B. Elias;Jürgen Germann;Aaron Loh;Wissam Deeb;Fuyixue Wang;Kawin Setsompop;Bryan Salvato;Leonardo Almeida;Kelly D. Foote;Robert Amaral;Paul B. Rosenberg;David F. Tang‐Wai;David A. Wolk;Anna Burke;Stephen Salloway;Marwan N. Sabbagh;M. Mallar Chakravarty;Gwenn S. Smith;Constantine G. Lyketsos;Michael S. Okun;William S. Anderson;Zoltán Mari;Francisco A. Ponce;Andrés M. Lozano;Andreas Horn
10.1038/s41597-019-0254-8,10.1126/sciadv.abj7892,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2022,Anneke Alkemade;Pierre‐Louis Bazin;Rawien Balesar;Kerrin Pine;Evgeniya Kirilina;Harald E. Möller;Robert Trampel;Johan M. Kros;Max C. Keuken;Ronald L. A. W. Bleys;Dick F. Swaab;Andreas Herrler;Nikolaus Weiskopf;Birte U. Forstmann
10.1038/s41597-019-0254-8,10.1073/pnas.2114985119,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2022,Andreas Horn;Martin M. Reich;Siobhán Ewert;Ningfei Li;Bassam Al‐Fatly;Florian Lange;Jonas Roothans;Simón Oxenford;Isabel Horn;Steffen Paschen;Joachim Runge;Fritz Wodarg;Karsten Witt;Robert Nickl;Matthias Wittstock;Gerd‐Helge Schneider;Philipp Mahlknecht;Werner Poewe;Wilhelm Eisner;Ann‐Kristin Helmers;Cordula Matthies;Joachim K. Krauss;Günther Deuschl;Jens Volkmann;Andrea A. Kühn
10.1038/s41597-019-0254-8,10.1002/ana.25975,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2020,Gavin J.B. Elias;Alexandre Boutet;Suresh E. Joel;Jürgen Germann;Dave Gwun;Clemens Neudorfer;Robert Gramer;Musleh Algarni;Vijayashankar Paramanandam;Sreeram Prasad;Michelle E. Beyn;Andreas Horn;Radhika Madhavan;Manish Ranjan;Christopher S. Lozano;Andrea A. Kühn;Jeff Ashe;Walter Kucharczyk;Renato P. Munhoz;Peter Giacobbe;Sidney H. Kennedy;D. Blake Woodside;Suneil K. Kalia;Alfonso Fasano;Mojgan Hodaie;Andrés M. Lozano
10.1038/s41597-019-0254-8,10.1016/j.neuroimage.2020.117307,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2020,Qiang Wang;Harith Akram;Muthuraman Muthuraman;Gabriel González‐Escamilla;Sameer A. Sheth;Simón Oxenford;Fang‐Cheng Yeh;Sergiu Groppa;Nora Vanegas‐Arroyave;Ludvic Zrinzo;Ningfei Li;Andrea A. Kühn;Andreas Horn
10.1038/s41597-019-0254-8,10.1093/brain/awac009,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2022,Christos Ganos;Bassam Al‐Fatly;J. Fischer;Juan-Carlos Baldermann;Christina Hennen;Veerle Visser‐Vandewalle;Clemens Neudorfer;Davide Martino;Jing Li;Tim Bouwens;Linda Ackermanns;Albert F.G. Leentjens;Nadya Pyatigorskaya;Yulia Worbe;Michael Fox;Andrea A. Kühn;Andreas Horn
10.1038/s41597-019-0254-8,10.1038/s41593-024-01570-1,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2024,Barbara Hollunder;Jill L. Ostrem;Ilkem Aysu Sahin;Nanditha Rajamani;Simón Oxenford;Konstantin Butenko;Clemens Neudorfer;Pablo Reinhardt;Patricia Zvarova;Mircea Polosan;Harith Akram;Matteo Vissani;Chencheng Zhang;Bomin Sun;P Navrátil;Martin M. Reich;Jens Volkmann;Fang‐Cheng Yeh;Juan Carlos Baldermann;Till A. Dembek;Veerle Visser‐Vandewalle;Eduardo Joaquim Lopes Alho;Paulo Roberto Franceschini;Pranav Nanda;Carsten Finke;Andrea A. Kühn;Darin D. Dougherty;R. Mark Richardson;Hagai Bergman;Mahlon R. DeLong;Alberto Mazzoni;Luigi Romito;Himanshu Tyagi;Ludvic Zrinzo;Eileen M. Joyce;Stéphan Chabardès;Philip A. Starr;Ningfei Li;Andreas Horn
10.1038/s41597-019-0254-8,10.1016/j.neuroimage.2021.118758,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2021,Jian Li;William H. Curley;Bastien Guérin;Darin D. Dougherty;Adrian V. Dalca;Bruce Fischl;Andreas Horn;Brian L. Edlow
10.1038/s41597-019-0254-8,10.1038/s41398-021-01307-9,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2021,Philip Mosley;François Windels;John Morris;Terry Coyne;Rodney Marsh;Andrea Giorni;Adith Mohan;Perminder S. Sachdev;Emily O’Leary;Mark J. Boschen;Pankaj Sah;Peter A. Silburn
10.1038/s41597-019-0254-8,10.1038/s41467-024-47867-4,2019,Brian L. Edlow;Azma Mareyam;Andreas Horn;Jon̈athan R. Polimeni;Thomas Witzel;M. Dylan Tisdall;Jean C. Augustinack;Jason Stockmann;Bram R. Diamond;Allison Stevens;Lee S. Tirrell;Rebecca D. Folkerth;Lawrence L. Wald;Bruce Fischl;André van der Kouwe,2024,Irene H. Flønes;Lilah Toker;Dagny Ann Sandnes;Martina Castelli;Sepideh Mostafavi;Njål Lura;Omnia Shadad;Erika Fernández‐Vizarra;Cèlia Painous;Alexandra Pérez‐Soriano;Yaroslau Compta;Laura Molina‐Porcel;Guido Alves;Ole‐Bjørn Tysnes;Christian Dölle;Gonzalo S. Nido;Charalampos Tzoulis
