"doi_charite","publication_year_charite","doi_dcc","publication_year_dcc","lag"
"10.1038/s41467-023-40584-4",2023,"10.3389/fcell.2022.879057",2022,-1
"10.1038/s41467-023-40584-4",2023,"10.1038/s41467-018-05348-5",2018,-5
"10.1038/s41467-023-40584-4",2023,"10.1038/bcj.2017.56",2017,-6
"10.1038/s41467-023-40584-4",2023,"10.3389/fonc.2018.00615",2019,-4
"10.1038/s41467-023-40584-4",2023,"10.1038/leu.2016.370",2016,-7
"10.1038/s41467-023-40584-4",2023,"10.18632/oncotarget.4769",2015,-8
"10.1038/s41467-023-40584-4",2023,"10.1038/leu.2017.144",2017,-6
"10.1038/s41467-023-40584-4",2023,"10.1016/j.apsb.2022.01.015",2022,-1
"10.1038/s41467-023-40584-4",2023,"10.1371/journal.pone.0058809",2013,-10
"10.1038/s41467-023-40584-4",2023,"10.1038/s41417-018-0070-x",2019,-4
"10.1038/s41467-023-40584-4",2023,"10.3389/fonc.2021.694331",2021,-2
"10.1038/s41467-023-40584-4",2023,"10.1371/journal.pone.0020226",2011,-12
"10.1038/s41467-023-40584-4",2023,"10.37349/etat.2021.00034",2021,-2
"10.1038/s41467-023-40584-4",2023,"10.1186/s13046-022-02276-7",2022,-1
"10.1038/s41467-023-40584-4",2023,"10.7150/jca.34465",2019,-4
"10.1038/s41467-023-40584-4",2023,"10.1038/leu.2016.258",2016,-7
"10.1038/s41467-023-40584-4",2023,"10.1038/ncomms8213",2015,-8
"10.1038/s41467-023-40584-4",2023,"10.3109/10428194.2014.911863",2014,-9
"10.1038/s41467-023-40584-4",2023,"10.1371/journal.pone.0196780",2018,-5
"10.1038/s41467-023-40584-4",2023,"10.1371/journal.pone.0046331",2012,-11
"10.1038/s41467-023-40584-4",2023,"10.1186/s12943-021-01380-0",2021,-2
"10.1038/s41467-023-40584-4",2023,"10.20517/cdr.2021.83",2021,-2
"10.1038/s41467-023-40584-4",2023,"10.1038/s41419-019-1854-0",2019,-4
"10.1038/s41467-023-40584-4",2023,"10.1038/leu.2013.233",2013,-10
"10.1038/s41467-023-40584-4",2023,"10.12659/msm.908944",2018,-5
"10.1038/s41467-023-40584-4",2023,"10.1089/jir.2020.0111",2020,-3
"10.1038/s41467-023-40584-4",2023,"10.3390/cancers13184668",2021,-2
"10.1038/s41467-023-40584-4",2023,"10.1038/s41417-018-0069-3",2019,-4
"10.1038/s41467-023-40584-4",2023,"10.3389/fcell.2021.675939",2021,-2
"10.1038/s41467-023-40584-4",2023,"10.1182/bloodadvances.2021005772",2022,-1
"10.1038/s41467-023-38044-0",2023,"10.1007/s00401-011-0904-1",2011,-12
"10.1038/s41467-023-38044-0",2023,"10.3389/fbioe.2020.00177",2020,-3
"10.1038/s41467-023-38044-0",2023,"10.1007/s11060-010-0509-x",2010,-13
"10.1038/s41467-023-38044-0",2023,"10.1371/journal.pcbi.1003148",2013,-10
"10.1038/s41467-023-38044-0",2023,"10.18632/oncotarget.26211",2018,-5
"10.1038/s41467-023-38044-0",2023,"10.18632/oncotarget.3083",2014,-9
"10.1038/s41467-023-38044-0",2023,"10.18632/oncotarget.23311",2017,-6
"10.1038/s41598-020-64431-4",2020,"10.1186/s13045-017-0526-8",2017,-3
"10.1038/s41598-020-64431-4",2020,"10.1186/s13059-016-0948-6",2016,-4
"10.1038/s41598-020-64431-4",2020,"10.1111/os.12412",2018,-2
"10.1038/s41598-020-64431-4",2020,"10.7717/peerj.3078",2017,-3
"10.1038/s41598-020-64431-4",2020,"10.1371/journal.pone.0164542",2016,-4
"10.1038/s41598-020-64431-4",2020,"10.3389/fimmu.2019.02612",2019,-1
"10.1038/s41598-020-64431-4",2020,"10.3390/ijms18112396",2017,-3
"10.1038/s41598-020-64431-4",2020,"10.3389/fimmu.2018.03085",2019,-1
"10.1038/s41598-020-64431-4",2020,"10.7150/ijms.35611",2019,-1
"10.1038/s41598-020-64431-4",2020,"10.6026/97320630011207",2015,-5
"10.1038/s41598-020-64431-4",2020,"10.12659/msm.915451",2019,-1
"10.1038/s41598-020-64431-4",2020,"10.7717/peerj.5743",2018,-2
"10.1038/s41598-020-64431-4",2020,"10.18632/oncotarget.7390",2016,-4
"10.1038/s41598-020-64431-4",2020,"10.1371/journal.pone.0167212",2016,-4
"10.1038/s41598-020-64431-4",2020,"10.3390/jcm7120535",2018,-2
"10.1038/s41598-020-64431-4",2020,"10.3390/jcm8010050",2019,-1
"10.1038/s41598-020-64431-4",2020,"10.1186/s12859-016-1065-y",2016,-4
"10.1038/s41598-020-64431-4",2020,"10.1302/2046-3758.74.bjr-2017-0245.r1",2018,-2
"10.1038/s41598-020-64431-4",2020,"10.1371/journal.pone.0161306",2016,-4
"10.1038/s41598-020-64431-4",2020,"10.3892/mmr.2018.9677",2018,-2
"10.1038/s41598-020-64431-4",2020,"10.1186/s13018-018-0734-0",2018,-2
"10.1038/s41598-020-64431-4",2020,"10.1371/journal.pone.0224632",2019,-1
"10.1038/s41598-020-64431-4",2020,"10.3389/fphys.2018.00516",2018,-2
"10.1038/s41598-020-64431-4",2020,"10.7150/ijms.27056",2018,-2
"10.1038/s41598-020-64431-4",2020,"10.1155/2018/9482726",2018,-2
"10.1038/s41598-020-64431-4",2020,"10.1371/journal.pone.0199530",2018,-2
"10.1038/s41598-020-64431-4",2020,"10.3389/fimmu.2017.00074",2017,-3
"10.1038/s41598-020-64431-4",2020,"10.1038/s41598-019-51627-6",2019,-1
"10.1038/s41467-021-21994-8",2021,"10.3389/fimmu.2019.00217",2019,-2
"10.1038/s41467-023-38044-0",2023,"10.3390/ijms232012330",2022,-1
"10.1038/s41467-023-38044-0",2023,"10.3390/ijms22041877",2021,-2
"10.1038/s41467-023-38044-0",2023,"10.1093/neuonc/noaa222.160",2020,-3
"10.1038/s41467-023-38044-0",2023,"10.3390/cancers12071922",2020,-3
"10.1038/s41467-023-38044-0",2023,"10.1186/s40478-021-01135-4",2021,-2
"10.1038/s41467-023-38044-0",2023,"10.1038/s41467-022-34514-z",2022,-1
"10.1038/s41467-023-38044-0",2023,"10.3390/cancers13020330",2021,-2
"10.1007/s00401-020-02250-7",2020,"10.3389/fonc.2019.01173",2019,-1
"10.1007/s00401-020-02250-7",2020,"10.1038/s41467-017-00346-5",2017,-3
"10.1007/s00401-020-02250-7",2020,"10.7554/elife.44161",2019,-1
"10.1136/gutjnl-2020-321016",2020,"10.1038/s41467-018-06498-2",2018,-2
"10.1136/gutjnl-2020-321016",2020,"10.1097/md.0000000000010826",2018,-2
"10.1136/gutjnl-2020-321016",2020,"10.3389/fnins.2019.00937",2019,-1
"10.1038/s41598-023-27792-0",2023,"10.15252/emmm.202114557",2022,-1
"10.1111/cge.13977",2021,"10.1038/sj.bjc.6605330",2009,-12
"10.1111/cge.13977",2021,"10.1186/s13023-017-0736-8",2017,-4
"10.1038/s41598-020-66334-w",2020,"10.1371/journal.pone.0078546",2014,-6
"10.1038/s41598-020-66334-w",2020,"10.1371/journal.pone.0173784",2017,-3
"10.1038/s41598-020-66334-w",2020,"10.1186/2047-217x-3-10",2014,-6
"10.1038/s41598-020-66334-w",2020,"10.1038/s41467-018-04191-y",2018,-2
"10.1038/s41598-020-66334-w",2020,"10.1038/s41467-019-10128-w",2019,-1
"10.1038/s41598-020-66334-w",2020,"10.1038/s41598-019-41362-3",2019,-1
"10.1038/s41598-020-66334-w",2020,"10.1371/journal.pone.0071203",2013,-7
"10.1038/s41598-020-66334-w",2020,"10.1161/jaha.116.004739",2017,-3
"10.1038/s41598-020-66334-w",2020,"10.1038/mp.2015.205",2016,-4
"10.1038/s41598-020-66334-w",2020,"10.3389/fgene.2015.00324",2015,-5
"10.1038/s41598-020-66334-w",2020,"10.1038/s41562-017-0195-1",2017,-3
"10.1038/s41598-020-66334-w",2020,"10.1038/s41467-019-12653-0",2019,-1
"10.1038/s41598-020-66334-w",2020,"10.1038/srep32894",2016,-4
"10.1038/s41598-020-66334-w",2020,"10.1371/journal.pgen.1004269",2014,-6
"10.1038/s41598-020-66334-w",2020,"10.1371/annotation/21033005-e120-4364-8024-c6534b4108f6",2013,-7
"10.1038/s41598-020-66334-w",2020,"10.1177/1179551417748942",2018,-2
"10.1038/s41598-020-66334-w",2020,"10.1186/s13075-018-1558-3",2018,-2
"10.1038/s41598-020-66334-w",2020,"10.1371/journal.pone.0125497",2015,-5
"10.1038/s41598-020-66334-w",2020,"10.1038/s41467-017-02769-6",2018,-2
"10.1038/s41598-020-66334-w",2020,"10.1186/s12864-015-1645-7",2015,-5
"10.1038/s41598-020-66334-w",2020,"10.1038/gim.2012.164",2012,-8
"10.1038/s41598-020-66334-w",2020,"10.1371/journal.pone.0087257",2014,-6
"10.1038/s41598-020-66334-w",2020,"10.1038/s41598-017-15864-x",2017,-3
"10.1038/s41588-021-00973-1",2021,"10.3389/fgene.2015.00030",2015,-6
"10.1038/s41588-021-00973-1",2021,"10.1038/s41467-018-06705-0",2018,-3
"10.1038/s41588-021-00973-1",2021,"10.1186/s12864-016-2725-z",2016,-5
"10.3390/cancers13081807",2021,"10.1002/cam4.3458",2020,-1
"10.1038/s41588-023-01561-1",2023,"10.1186/s13073-015-0230-7",2015,-8
"10.1038/s41588-023-01561-1",2023,"10.1038/s41598-020-69884-1",2020,-3
"10.1038/s41588-023-01561-1",2023,"10.1093/bioinformatics/bts053",2012,-11
"10.1038/s41588-023-01561-1",2023,"10.1038/nature10351",2011,-12
"10.1038/s41588-023-01561-1",2023,"10.1038/srep23226",2016,-7
"10.1038/s41588-023-01561-1",2023,"10.1038/s41588-020-0673-7",2020,-3
