"unique_id","doi","doi_no_ver_info","data_id","data_id_merged","data_access","in_dashboard","source","listed_in_numbat_output","validated","Category","covid_related","human_data","dataset_is_doi","repository","charite_id_year","in_dcc"
2070,"10.7554/elife.51156","10.7554/elife.51156","https://datadryad.org/stash/dataset/doi:10.5061/dryad.gt160v2","10.5061/dryad.gt160v2","yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"TRUE",NA,NA,"FALSE"
910,"10.1016/j.jhep.2022.07.009","10.1016/j.jhep.2022.07.009","https://ega-archive.org/datasets/egad00001005934","egad00001005934","restricted",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
188,"10.1093/ecco-jcc/jjad088","10.1093/ecco-jcc/jjad088","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse230059","gse230059","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
717,"10.1111/nyas.14848","10.1111/nyas.14848","https://osf.io/gcjqr/","//osf.io/gcjqr","yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"FALSE","osf",NA,"FALSE"
1392,"10.26508/lsa.202101099","10.26508/lsa.202101099","https://www.ebi.ac.uk/pride/archive/projects/pxd024707","pxd024707","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
96,"10.1016/j.celrep.2023.112926","10.1016/j.celrep.2023.112926","https://doi.org/10.2210/pdb7xzh/pdb","10.2210/pdb7xzh/pdb","yes",TRUE,"numbat",TRUE,TRUE,"doi",NA,NA,"TRUE",NA,NA,"FALSE"
1020,"10.1126/science.abg3875","10.1126/science.abg3875","https://www.ebi.ac.uk/emdb/emd-14751","emd-14751","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
1828,"10.1038/s41467-019-13885-w","10.1038/s41467-019-13885-w","https://www.synapse.org/#!synapse:syn5553991","syn5553991","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
2063,"10.1371/journal.pmed.1003074","10.1371/journal.pmed.1003074","https://figshare.com/articles/dataset/association_of_suicidal_behavior_with_exposure_to_suicide_and_suicide_attempt_a_systematic_review_and_multilevel_meta-analysis/12054234?file=22151703","10.6084/m9.figshare.12054234","yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"TRUE",NA,NA,"FALSE"
26,"10.1016/j.cmet.2023.03.018","10.1016/j.cmet.2023.03.018","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse226911","gse226911","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
1317,"10.1186/s13073-021-00926-7","10.1186/s13073-021-00926-7","https://trace.ncbi.nlm.nih.gov/traces/sra/?run=srr10743233","srr10743233","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
890,"10.1016/j.neuroimage.2022.119348","10.1016/j.neuroimage.2022.119348","https://osf.io/2vw6j/","//osf.io/2vw6j","yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"FALSE","osf",NA,"FALSE"
1405,"10.3389/fimmu.2021.603649","10.3389/fimmu.2021.603649","https://figshare.com/articles/dataset/table_1_modulation_of_liver_inflammation_and_fibrosis_by_interleukin-37_xlsx/14160740?backto=/collections/modulation_of_liver_inflammation_and_fibrosis_by_interleukin-37/5326814","10.6084/m9.figshare.5326814","yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"TRUE",NA,NA,"FALSE"
1947,"10.7554/elife.48401","10.7554/elife.48401","https://doi.org/10.6084/m9.figshare.8312807","10.6084/m9.figshare.8312807","yes",TRUE,"numbat",TRUE,TRUE,"gen_rep",NA,NA,"TRUE",NA,NA,"FALSE"
1600,"10.1016/j.jbc.2021.101334","10.1016/j.jbc.2021.101334","https://www.ebi.ac.uk/pride/archive/projects/pxd028005","pxd028005","yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,NA,"FALSE"
