"charite_doi","reusing_paper_doi"
"10.1016/j.dib.2022.108739","https://openaccess.thecvf.com/content/cvpr2024w/dcami/html/redekop_codebook_vq-vae_approach_for_prostate_cancer_diagnosis_using_multiparametric_mri_cvprw_2024_paper.html"
"10.1016/j.dib.2022.108739","https://doi.org/10.1016/j.mri.2024.03.018"
"10.1016/j.dib.2022.108739","https://doi.org/10.48550/arxiv.2404.15320"
"10.1038/s41597-022-01401-7","https://doi.org/10.48550/arxiv.2502.11638"
"10.1038/s41597-022-01401-7","https://doi.org/10.48550/arxiv.2502.12181"
"10.1038/s41597-022-01401-7","https://doi.org/10.1038/s41467-025-56321-y"
"10.1038/s41597-022-01401-7","https://doi.org/10.48550/arxiv.2502.08675"
"10.1038/s41597-022-01401-7","https://doi.org/10.48550/arxiv.2501.15423"
"10.1038/s41597-022-01401-7","https://doi.org/10.1016/j.neuroscience.2025.01.020"
"10.1038/s41597-022-01401-7","https://doi.org/10.1109/access.2024.3522214"
"10.1038/s41597-022-01401-7","https://doi.org/10.48550/arxiv.2412.08081"
"10.1038/s41597-022-01401-7","https://doi.org/10.11239/jsmbe.annual62.400"
"10.1038/s41597-022-01401-7","https://doi.org/10.1007/978-3-031-81101-2_5"
"10.1038/s41597-022-01401-7","https://doi.org/10.1007/978-3-031-73281-2_16"
"10.1038/s41597-022-01401-7","https://doi.org/10.1007/978-3-031-78761-4_11"
"10.1038/s41597-022-01401-7","https://doi.org/10.1002/hbm.26803"
"10.1038/s41597-022-01401-7","https://doi.org/10.48550/arxiv.2406.14826"
"10.1038/s41597-022-01401-7","https://doi.org/10.1016/j.media.2024.103301"
"10.1038/s41597-022-01401-7","https://doi.org/10.48550/arxiv.2406.06017"
"10.1038/s41597-022-01401-7","https://doi.org/10.3389/fnins.2024.1401329"
"10.1038/s41597-022-01401-7","https://doi.org/10.1145/3665026.3665049"
"10.1038/s41597-022-01401-7","https://doi.org/10.1145/3665026.3665045"
"10.1038/s41597-022-01401-7","https://doi.org/10.48550/arxiv.2403.17177"
"10.1038/s41597-022-01401-7","https://doi.org/10.1002/nbm.5143"
"10.1038/s41597-022-01401-7","https://doi.org/10.3390/bioengineering11010086"
"10.1038/s41597-022-01401-7","https://doi.org/10.48550/arxiv.2410.08397"
"10.1038/s41597-022-01806-4","https://doi.org/10.1038/s42003-024-06119-3"
"10.1038/s41597-022-01806-4","https://doi.org/10.48550/arxiv.2401.10304"
"10.1038/s41597-022-01822-4","https://doi.org/10.21203/rs.3.rs-3976380/v1"
