"unique_id","doi","doi_no_ver_info","data_id","data_id_auto_cleaned","data_id_no_ex_chr","data_id_m_val","data_id_merged","data_id_secondary","data_access","in_dashboard","source","listed_in_numbat_output","validated","Category","covid_related","human_data","dataset_is_doi","repository","in_dcc","data_availability_statement","charite_id_year","license"
2084,"10.1038/s41597-019-0129-z","10.1038/s41597-019-0129-z","10.18112/openneuro.ds001875.v1.0.3","openneuro.ds001875.v1.0","openneuro.ds001875.v1.0","10.18112/openneuro.ds001875","10.18112/openneuro.ds001875",NA,NA,TRUE,"data_articles",FALSE,TRUE,"doi","FALSE","FALSE","TRUE",NA,"FALSE",NA,NA,NA
2091,"10.1038/s41597-019-0254-8","10.1038/s41597-019-0254-8","10.18112/openneuro.ds002179.v1.1.0","openneuro.ds002179.v1.1","openneuro.ds002179.v1.1","10.18112/openneuro.ds002179","10.18112/openneuro.ds002179",NA,NA,TRUE,"data_articles",FALSE,TRUE,"doi","FALSE","TRUE","TRUE",NA,"FALSE",NA,NA,NA
606,"10.1038/s41586-023-05844-9","10.1038/s41586-023-05844-9","https://www.omicspred.org/score/opgs000001","opgs000001","opgs000001","","opgs000001",NA,"yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE","yes",NA,"CC BY"
528,"10.1093/ve/vead024","10.1093/ve/vead024","https://www.ncbi.nlm.nih.gov/nuccore/oq081771","oq081771","oq081771","","oq081771",NA,"yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE","yes",NA,"no license"
630,"10.1128/msphere.00488-22","10.1128/msphere.00488-22","https://www.ncbi.nlm.nih.gov/nuccore/oq122118","oq122118","oq122118","","oq122118",NA,"yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE","yes",NA,"no license"
142,"10.3390/v15040953","10.3390/v15040953","https://www.ncbi.nlm.nih.gov/nuccore/oq286121","oq286121","oq286121","","oq286121",NA,"yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE","yes",NA,"no license"
297,"10.3390/v15051087","10.3390/v15051087","https://www.ncbi.nlm.nih.gov/nuccore/oq294046","oq294046","oq294046","","oq294046",NA,"yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE","yes",NA,"no license"
603,"10.3390/v15091891","10.3390/v15091891","https://www.ncbi.nlm.nih.gov/nuccore/oq357265","oq357265","oq357265","","oq357265",NA,"yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE","yes",NA,"no license"
183,"10.1002/jmv.29046","10.1002/jmv.29046","https://www.ncbi.nlm.nih.gov/nuccore/oq543179","oq543179","oq543179","","oq543179",NA,"yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE","yes",NA,"no license"
342,"10.3390/pathogens12070967","10.3390/pathogens12070967","https://www.ncbi.nlm.nih.gov/nuccore/oq588802","oq588802","oq588802","","oq588802",NA,"yes",TRUE,"numbat",TRUE,TRUE,"acc_nr",NA,NA,"FALSE",NA,"FALSE","yes",NA,"no license"
