"doi_charite","doi_lc","doi_no_ver_info","data_identifier","data_identifier_2nd_numbat_entry","data_id_lc","data_id_auto_cleaned","slug_charite","data_id_m_val","dataset_for_matching","data_id_secondary","detected_id","data_access","in_dashboard","source_charite","numbat_id_of_da_id","numbat_id_of_da_id_lc","listed_in_numbat_output","validated","Category","is_gen_rep","doi_id_orig_pair","doi_id_lc_pair_for_joining","doi_id_clean_pair","detected_in_numbat_originally_only_for_added","in_dcc","data_availability_statement","human_data","covid_related","charite_id_year","license","doi_id_lc_for_matching","is_detected_id_doi","das_for_analysis"
"10.1093/neuonc/noad078","10.1093/neuonc/noad078","10.1093/neuonc/noad078","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE228100",NA,"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse228100","gse228100",NA,"","gse228100",NA,NA,"yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1093/neuonc/noad078;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE228100","10.1093/neuonc/noad078;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse228100","10.1093/neuonc/noad078;gse228100",NA,"FALSE",NA,NA,NA,NA,NA,"10.1093/neuonc/noad078;gse228100",NA,NA
"10.1016/j.cell.2023.07.009","10.1016/j.cell.2023.07.009","10.1016/j.cell.2023.07.009","https://www.ebi.ac.uk/pride/archive/projects/PXD041665",NA,"https://www.ebi.ac.uk/pride/archive/projects/pxd041665","pxd041665",NA,"","pxd041665",NA,NA,"yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1016/j.cell.2023.07.009;https://www.ebi.ac.uk/pride/archive/projects/PXD041665","10.1016/j.cell.2023.07.009;https://www.ebi.ac.uk/pride/archive/projects/pxd041665","10.1016/j.cell.2023.07.009;pxd041665",NA,"FALSE","TRUE","TRUE","FALSE","2023","CC0","10.1016/j.cell.2023.07.009;pxd041665",NA,"TRUE"
"10.1016/j.cell.2023.07.009","10.1016/j.cell.2023.07.009","10.1016/j.cell.2023.07.009","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE192616",NA,"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse192616","gse192616",NA,"","gse192616",NA,NA,"yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1016/j.cell.2023.07.009;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE192616","10.1016/j.cell.2023.07.009;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse192616","10.1016/j.cell.2023.07.009;gse192616",NA,"FALSE","TRUE","FALSE","FALSE","2023","FALSE","10.1016/j.cell.2023.07.009;gse192616",NA,"TRUE"
"10.1681/asn.2022010076","10.1681/asn.2022010076","10.1681/asn.2022010076","https://www.ncbi.nlm.nih.gov/sra/SRX10766729[accn]",NA,"https://www.ncbi.nlm.nih.gov/sra/srx10766729[accn]","srx10766729[accn]",NA,"srx10766729","srx10766729",NA,NA,"yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1681/asn.2022010076;https://www.ncbi.nlm.nih.gov/sra/SRX10766729[accn]","10.1681/asn.2022010076;https://www.ncbi.nlm.nih.gov/sra/srx10766729[accn]","10.1681/asn.2022010076;srx10766729",NA,"FALSE",NA,NA,NA,NA,NA,"10.1681/asn.2022010076;srx10766729",NA,NA
"10.1007/s00259-023-06145-z","10.1007/s00259-023-06145-z","10.1007/s00259-023-06145-z","https://doi.org/10.5281/zenodo.7094287",NA,"https://doi.org/10.5281/zenodo.7094287","10.5281/zenodo.7094287",NA,"","10.5281/zenodo.7094287",NA,NA,"yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","doi","TRUE","10.1007/s00259-023-06145-z;https://doi.org/10.5281/zenodo.7094287","10.1007/s00259-023-06145-z;https://doi.org/10.5281/zenodo.7094287","10.1007/s00259-023-06145-z;10.5281/zenodo.7094287",NA,"FALSE",NA,NA,NA,NA,NA,"10.1007/s00259-023-06145-z;10.5281/zenodo.7094287",NA,NA
"10.1007/s00401-023-02608-7","10.1007/s00401-023-02608-7","10.1007/s00401-023-02608-7","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE228091",NA,"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse228091","gse228091",NA,"","gse228091",NA,NA,"yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1007/s00401-023-02608-7;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE228091","10.1007/s00401-023-02608-7;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse228091","10.1007/s00401-023-02608-7;gse228091",NA,"FALSE",NA,NA,NA,NA,NA,"10.1007/s00401-023-02608-7;gse228091",NA,NA
"10.1016/j.isci.2023.106323","10.1016/j.isci.2023.106323","10.1016/j.isci.2023.106323","https://www.ncbi.nlm.nih.gov/nuccore/MW002770",NA,"https://www.ncbi.nlm.nih.gov/nuccore/mw002770","mw002770",NA,"","mw002770",NA,NA,"yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1016/j.isci.2023.106323;https://www.ncbi.nlm.nih.gov/nuccore/MW002770","10.1016/j.isci.2023.106323;https://www.ncbi.nlm.nih.gov/nuccore/mw002770","10.1016/j.isci.2023.106323;mw002770",NA,"FALSE","TRUE","TRUE","TRUE","2020","FALSE","10.1016/j.isci.2023.106323;mw002770",NA,"TRUE"
"10.1016/j.isci.2023.106941","10.1016/j.isci.2023.106941","10.1016/j.isci.2023.106941","10.17632/jgsv9xgwk8.1",NA,"10.17632/jgsv9xgwk8.1","jgsv9xgwk8",NA,"10.17632/jgsv9xgwk8","10.17632/jgsv9xgwk8",NA,NA,"yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","doi","FALSE","10.1016/j.isci.2023.106941;10.17632/jgsv9xgwk8.1","10.1016/j.isci.2023.106941;10.17632/jgsv9xgwk8.1","10.1016/j.isci.2023.106941;10.17632/jgsv9xgwk8",NA,"FALSE",NA,NA,NA,NA,NA,"10.1016/j.isci.2023.106941;10.17632/jgsv9xgwk8",NA,NA
"10.1162/jocn_a_02043","10.1162/jocn_a_02043","10.1162/jocn_a_02043","10.17605/OSF.IO/4FDKY",NA,"10.17605/osf.io/4fdky","10.17605/osf.io/4fdky","4fdky","10.17605/osf.io/4fdky","osf_4fdky",NA,NA,"yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","doi","TRUE","10.1162/jocn_a_02043;10.17605/OSF.IO/4FDKY","10.1162/jocn_a_02043;10.17605/osf.io/4fdky","10.1162/jocn_a_02043;osf_4fdky",NA,"FALSE",NA,NA,NA,NA,NA,"10.1162/jocn_a_02043;osf_4fdky",NA,NA
"10.1186/s13073-022-01148-1","10.1186/s13073-022-01148-1","10.1186/s13073-022-01148-1","https://www.ebi.ac.uk/ena/browser/view/PRJEB51635",NA,"https://www.ebi.ac.uk/ena/browser/view/prjeb51635","prjeb51635",NA,"","prjeb51635","erp136282",NA,"yes",TRUE,"numbat",NA,NA,TRUE,"TRUE","acc_nr","FALSE","10.1186/s13073-022-01148-1;https://www.ebi.ac.uk/ena/browser/view/PRJEB51635","10.1186/s13073-022-01148-1;https://www.ebi.ac.uk/ena/browser/view/prjeb51635","10.1186/s13073-022-01148-1;prjeb51635",NA,"FALSE",NA,NA,NA,NA,NA,"10.1186/s13073-022-01148-1;prjeb51635",NA,NA
