"doi","publication_year","authors"
"https://doi.org/10.1016/j.patter.2021.100351",2021,"Nanditha Mallesh;Max Zhao;Lisa Meintker;Alexander Höllein;F. Elsner;Hannes Lüling;Torsten Haferlach;Wolfgang Kern;Jörg Westermann;Peter Brossart;Stefan W. Krause;Peter Krawitz"
"https://doi.org/10.1016/j.stem.2020.11.015",2020,"Anna Maria Ranzoni;Andrea Tangherloni;Ivan Berest;Simone G. Riva;Brynelle Myers;Paulina M. Strzelecka;Jiarui Xu;Elisa Panada;Irina Mohorianu;Judith B. Zaugg;Ana Cvejic"
"https://doi.org/10.1016/j.stem.2021.03.017",2021,"Kira Young;Elizabeth Eudy;Rebecca K. Bell;Matthew A. Loberg;Timothy M. Stearns;Devyani Sharma;Lars Velten;Simon Haas;Marie–Dominique Filippi;Jennifer J. Trowbridge"
"https://doi.org/10.1016/j.xhgg.2022.100166",2022,"Hanna K. Zieger;Leonie Weinhold;Axel Schmidt;Manuel Holtgrewe;Stefan Juranek;Anna Siewert;Annika B. Scheer;Frederic Thieme;Elisabeth Mangold;Nina Ishorst;Fabian Brand;Julia Welzenbach;Dieter Beule;Katrin Paeschke;Peter Krawitz;Kerstin U. Ludwig"
"https://doi.org/10.1016/j.xpro.2022.101957",2022,"Peter Pennitz;Cengiz Goekeri;Jakob Trimpert;Emanuel Wyler;Aileen Ebenig;Chantal Weissfuss;Michael D. Mühlebach;Martin Witzenrath;Geraldine Nouailles"
"https://doi.org/10.1038/s41375-020-0839-4",2020,"Stefanos A. Bamopoulos;Aarif M.N. Batcha;Vindi Jurinović;Maja Rothenberg‐Thurley;Hanna Janke;Bianka Ksienzyk;Julia Philippou‐Massier;Alexander Graf;Stefan Krebs;Helmut Blum;Stephanie E. Schneider;Nikola P. Konstandin;Maria Cristina Sauerland;Dennis Görlich;Wolfgang E. Berdel;Bernhard J. Woermann;Stefan K. Bohlander;Stefan Canzar;Ulrich Mansmann;Wolfgang Hiddemann;Jan Braess;Karsten Spiekermann;Klaus H. Metzeler;Tobias Herold"
"https://doi.org/10.1038/s41386-023-01588-2",2023,"Tim Hirschfeld;Johanna Prugger;Tomislav Majić;Timo Torsten Schmidt"
"https://doi.org/10.1038/s41431-023-01296-x",2023,"Floranne Boulogne;Laura R. Claus;Henry H. Wiersma;Roy Oelen;Floor Schukking;Niek de Klein;Shuang� Li;Harm-Jan Westra;Bert van der Zwaag;Franka van Reekum;Dana Sierks;Ria Schönauer;Zhigui Li;Emilia K. Bijlsma;Willem Jan W. Bos;Jan Halbritter;Nine V.A.M. Knoers;Whitney Besse;Patrick Deelen;Lude Franke;Albertien M. van Eerde"
"https://doi.org/10.1038/s41467-020-16009-x",2020,"Marion Peyrou;Rubén Cereijo;Tania Quesada‐López;Laura Campderrós;Aleix Gavaldà‐Navarro;Laura Liñares‐Pose;Elena Kaschina;Thomas Unger;Miguel López;Marta Giralt;Francesc Villarroya"
"https://doi.org/10.1038/s41467-020-16464-6",2020,"René Riedel;Richard Addo;Marta Ferreira‐Gomes;Gitta Anne Heinz;Frederik Heinrich;Jannis Kummer;Victor Greiff;Daniel Schulz;Cora Klaeden;Rebecca Cornelis;Ulrike Menzel;Stefan Kröger;Ulrik Stervbo;Ralf Köhler;Claudia Haftmann;Silvia Kühnel;Katrin Lehmann;Patrick Maschmeyer;Mairi McGrath;Sandra Naundorf;Stefanie Hahne;Özen Sercan;Francesco Siracusa;Jonathan Stefanowski;Melanie Weber;Kerstin Westendorf;Jakob Zimmermann;Anja E. Hauser;Sai T. Reddy;Pawel Durek;Hyun‐Dong Chang;Mir‐Farzin Mashreghi;Andreas Radbruch"
