"doi","publication_year","authors"
"https://doi.org/10.1038/s41467-021-24445-6",2021,"Yiting Lim;Sonali Arora;Samantha L. Schuster;Lukas Corey;Matthew Fitzgibbon;Cynthia L. Wladyka;Xiaoying Wu;Ilsa M. Coleman;Jeffrey J. Delrow;Eva Corey;Lawrence D. True;Peter S. Nelson;Gavin Ha;Andrew C. Hsieh"
"https://doi.org/10.1038/s41467-021-25403-y",2021,"Johannes Bloehdorn;Andrejs Braun;Amaro Taylor‐Weiner;Billy Michael Chelliah Jebaraj;Sandra Robrecht;Julia Krzykalla;Heng Pan;Adam Giza;Gulnara Akylzhanova;Karlheinz Holzmann;Annika Scheffold;Harvey E. Johnston;Ru‐Fang Yeh;Tetyana Klymenko;Eugen Tausch;Barbara Eichhorst;Lars Bullinger;Kirsten Fischer;Maja Weisser;Tadeusz Robak;Christof Schneider;John G. Gribben;Lekh N. Dahal;Matthew J. Carter;Olivier Elemento;Dan A. Landau;Donna Neuberg;Mark S. Cragg;Axel Benner;Michael Hallek;Catherine J. Wu;Hartmut Döhner;Stephan Stilgenbauer;Daniel Mertens"
"https://doi.org/10.1038/s41467-022-28809-4",2022,"Gizem Günes Günsel;Thomas M. Conlon;Aicha Jeridi;Rinho Kim;Zeynep Ertüz;Niklas J. Lang;Meshal Ansari;Mariia Novikova;Dongsheng Jiang;Maximilian Strunz;Mariia Gaianova;C. Hollauer;Christina Gabriel;Ilias Angelidis;Sebastian Doll;Jeanine C. Pestoni;Stephanie L. Edelmann;Marlene Kohlhepp;Adrien Guillot;Kevin Baßler;Hannelore P. Van Eeckhoutte;Özgecan Kayalar;Nur Konyalılar;Tamara Kanashova;Sophie Rodius;Carolina Ballester‐López;Carlos Mario Genes Robles;Natalia Smirnova;Markus Rehberg;Charu Agarwal;Ioanna Krikki;Benoit Piavaux;Stijn E. Verleden;Bart M. Vanaudenaerde;Mélanie Königshoff;Gunnar Dittmar;Ken R. Bracke;Joachim L. Schultze;Henrik Watz;Oliver Eickelberg;Tobias Stoeger;Gerald Burgstaller;Frank Tacke;Vigo Heissmeyer;Yuval Rinkevich;Hasan Bayram;Herbert B. Schiller;Marcus Conrad;Robert Schneider;Ali Önder Yildirim"
"https://doi.org/10.1038/s41467-022-29407-0",2022,"Christopher Mark Skopnik;René Riedel;Richard Addo;Gitta Anne Heinz;Frederik Heinrich;Kazuhito Honjo;Pawel Durek;Philipp Enghard;Mir‐Farzin Mashreghi;Andreas Radbruch;Hiromi Kubagawa"
"https://doi.org/10.1038/s41467-022-33092-4",2022,"Trent Hall;Hyun‐Jin Kim;Mahmoud Dabbah;Jacquelyn A. Myers;Jeremy Chase Crawford;Antonio Morales‐Hernández;Claire Caprio;Pramika Sriram;Emilia Kooienga;Marta Derecka;Esther A. Obeng;Paul G. Thomas;Shannon McKinney‐Freeman"
"https://doi.org/10.1038/s41467-022-34514-z",2022,"Sibo Zhao;Jia Li;Huiyuan Zhang;Lin Qi;Yuchen Du;Mari Kogiso;Frank Braun;Sophie Xiao;Yulun Huang;Jianfang Li;Wan‐Yee Teo;Holly Lindsay;Patricia Baxter;Jack Su;Adekunle M. Adesina;Miklós Laczik;Paola Genevini;Anne-Clémence Veillard;Sol Schvartzman;Geoffrey Berguet;Shirong Ding;Liping Du;Clifford Stephan;Jianhua Yang;Peter J. Davies;Xinyan Lu;Murali Chintagumpala;D. Williams Parsons;László Perlaky;Yunfei Xia;Tsz‐Kwong Man;Yun Huang;Deqiang Sun;Xiao‐Nan Li"
"https://doi.org/10.1038/s41467-023-35861-1",2023,"Ming Yang;Xiaoqiang Qi;Nan Li;Jussuf T. Kaifi;Shi‐You Chen;Andrew A. Wheeler;Eric T. Kimchi;Aaron C. Ericsson;R. Scott Rector;Kevin F. Staveley-O’Carroll;Guangfu Li"
"https://doi.org/10.1038/s41467-023-37092-w",2023,"F. Kommoss;Anne‐Sophie Chong;Anne‐Laure Chong;Elke Pfaff;David Jones;Laura S. Hiemcke‐Jiwa;Lennart Kester;Uta Flucke;Manfred Gessler;Daniel Schrimpf;Felix Sahm;Blaise Clarke;Colin J.R. Stewart;Yemin Wang;C. Blake Gilks;Friedrich Kommoss;David G. Huntsman;Ulrich Schüller;Christian Koelsche;W. Glenn McCluggage;Andreas von Deimling;William D. Foulkes"
"https://doi.org/10.1038/s41467-023-37383-2",2023,"Jake Thomas;Anna Appios;Emily F. Calderbank;Nagisa Yoshida;Xiaohui Zhao;Russell S. Hamilton;Ashley Moffett;Andrew Sharkey;Elisa Laurenti;Courtney W. Hanna;Naomi McGovern"
"https://doi.org/10.1038/s41540-021-00193-7",2021,"Joshua J. Levy;Youdinghuan Chen;Nasim Azizgolshani;Curtis L. Petersen;Alexander J. Titus;Erika L. Moen;Louis Vaickus;Lucas A. Salas;Brock C. Christensen"
"https://doi.org/10.1038/s41540-022-00225-w",2022,"Deeksha Malhan;Alireza Basti;Angela Relógio"
"https://doi.org/10.1038/s41556-019-0439-6",2019,"Chiara Baccin;Jude Al-Sabah;Lars Velten;Patrick M. Helbling;Florian Grünschläger;Pablo Hernández-Malmierca;César Nombela‐Arrieta;Lars M. Steinmetz;Andreas Trumpp;Simon Haas"
"https://doi.org/10.1038/s41588-021-00877-0",2021,"R. W. Davies;Marek Kučka;Dingwen Su;Sinan Shi;Maeve Flanagan;Christopher Cunniff;Yingguang Frank Chan;Simon Myers"
"https://doi.org/10.1038/s41591-022-01688-4",2022,"Sébastien Fromentin;Sofia K. Forslund;Kanta Chechi;Judith Aron‐Wisnewsky;Rima Chakaroun;Trine Nielsen;Valentina Tremaroli;Boyang Ji;Edi Prifti;Antonis Myridakis;Julien Chilloux;Petros Andrikopoulos;Yong Fan;Michael Olanipekun;Renato Alves;Solia Adiouch;Noam Bar;Yeela Talmor‐Barkan;Eugeni Belda;Robert Caesar;Luís Pedro Coelho;Gwen Falony;Soraya Fellahi;Pilar Galán;Nathalie Galleron;Gérard Helft;Lesley Hoyles;Richard Isnard;Emmanuelle Le Chatelier;Hanna Julienne;Lisa Olsson;Helle K. Pedersen;Nicolas Pons;Benoît Quinquis;Christine Rouault;Hugo Roume;Joe‐Elie Salem;Thomas Schmidt;Sara Vieira‐Silva;Peishun Li;Maria Zimmermann‐Kogadeeva;Christian Lewinter;Nadja B. Søndertoft;Tue H. Hansen;Dominique Gauguier;Jens Peter Gøtze;Lars Køber;Ran Kornowski;Henrik Vestergaard;Torben Hansen;Jean‐Daniel Zucker;Serge Herçberg;Ivica Letunić;Fredrik Bäckhed;Jean‐Michel Oppert;Jens Nielsen;Jeroen Raes;Peer Bork;Michael Stümvoll;Eran Segal;Karine Clément;Marc‐Emmanuel Dumas;S. Dusko Ehrlich;Oluf Pedersen"
"https://doi.org/10.1038/s41592-020-0965-y",2020,"Jason C. Klein;Vikram Agarwal;Fumitaka Inoue;Aidan Keith;Beth Martin;Martin Kircher;Nadav Ahituv;Jay Shendure"
"https://doi.org/10.1038/s41597-022-01822-4",2022,"Johanna Prugger;Ekin Derdiyok;Jannis Dinkelacker;Cyril Costines;Timo Torsten Schmidt"
"https://doi.org/10.1038/s41597-022-01890-6",2023,"Hanna P. Roetschke;Guillermo Rodriguez-Hernandez;John A. Cormican;Xiaoping Yang;Steven Lynham;Michele Mishto;Juliane Liepe"
"https://doi.org/10.1038/s41598-018-36050-7",2018,"Anthony F. Herzig;Teresa Nutile;Daniela Ruggiero;Marina Ciullo;Hervé Perdry;Anne‐Louise Leutenegger"
"https://doi.org/10.1038/s41598-020-66241-0",2020,"Sonja Lang;Fedja Farowski;Anna Martin;Hilmar Wisplinghoff;Maria J. G. T. Vehreschild;Marcin Krawczyk;Angela Nowag;Anne Kretzschmar;Claus Jürgen Scholz;Philipp Kasper;Christoph Roderburg;Frank Lammert;Tobias Goeser;Hans‐Michael Steffen;Münevver Demir"
"https://doi.org/10.1038/s41598-022-14055-7",2022,"Krzysztof Odrzywołek;Zuzanna Karwowska;Jan Majta;Aleksander Byrski;Kaja Milanowska;Tomasz Kościółek"
"https://doi.org/10.1038/s41698-022-00295-3",2022,"Almudena Espín-Pérez;Kevin Brennan;Asiri Ediriwickrema;Olivier Gevaert;Izidore S. Lossos;Andrew J. Gentles"
"https://doi.org/10.1038/s42003-023-04477-y",2023,"Vivek Appadurai;Jonas Bybjerg‐Grauholm;Morten Krebs;Anders Rosengren;Alfonso Buil;Andrés Ingason;Ole Mors;Anders D. Børglum;David M. Hougaard;Merete Nordentoft;Preben Bo Mortensen;Olivier Delaneau;Thomas Werge;Andrew J. Schork"
"https://doi.org/10.1080/0886022x.2022.2141648",2022,"Long He;Boqian Wang;Xueyi Wang;Yuewen Liu;Song Xing;Yijian Zhang;Xin Li;Hongwei Yang"
"https://doi.org/10.1080/19490976.2022.2044722",2022,"Harimalala Ranaivo;Florence Thirion;Christel Béra‐Maillet;Susie Guilly;Chantal Simon;Monique Sothier;Laurie Van Den Berghe;N. Feugier-Favier;S. Lambert-Porcheron;Isabelle Dussous;L. Roger;Hugo Roume;Nathalie Galleron;Nicolas Pons;Emmanuelle Le Chatelier;S. Dusko Ehrlich;Martine Laville;Joël Doré;Julie‐Anne Nazare"
"https://doi.org/10.1093/bioinformatics/btac637",2022,"Lars Wienbrandt;David Ellinghaus"
"https://doi.org/10.1093/nar/gkab433",2021,"Ilias Moutsopoulos;Lukas Maischak;Elze Lauzikaite;Sergio A Vasquez Urbina;Eleanor C Williams;Hajk‐Georg Drost;Irina Mohorianu"
"https://doi.org/10.1093/nar/gkac1009",2022,"Xinhao Shao;Clarissa Gomez;Nandini Kapoor;James M. Considine;Christopher Grams;Yu Gao;Alexandra Naba"
"https://doi.org/10.1093/nargab/lqac071",2022,"Mengjun Wu;Manfred Schmid;Torben Heick Jensen;Albin Sandelin"
"https://doi.org/10.1093/neuonc/noaa222.160",2020,"Timothy Ritzmann;Anbarasu Lourdusamy;Andrew M. Jackson;Lisa Storer;Andrew M. Donson;Andrea M. Griesinger;Nicholas K. Foreman;Hazel Rogers;Richard G. Grundy"
"https://doi.org/10.1093/noajnl/vdz015",2019,"Kay Ka‐Wai Li;Zhifeng Shi;Tathiane M. Malta;Aden Ka‐Yin Chan;Shaz Cheng;Johnny Sheung Him Kwan;Rui Yang;Wai Sang Poon;Ying Mao;Houtan Noushmehr;Hong Chen;Ho‐Keung Ng"
"https://doi.org/10.1097/tp.0000000000004396",2022,"Katelynn S. Madill-Thomsen;Georg A. Böhmig;Jonathan S. Bromberg;Gunilla Einecke;Farsad Eskandary;Gaurav Gupta;Marek Myślak;Ondřej Viklický;Agnieszka Perkowska‐Ptasińska;Kim Solez;Philip F. Halloran"
"https://doi.org/10.1098/rsos.172212",2018,"Simone Coughlan;Alysha Taylor;Eoghan Feane;Mandy Sanders;Gabriele Schönian;James A. Cotton;Tim Downing"
"https://doi.org/10.1099/mgen.0.000640",2021,"Luz Helena Patiño;Adriana Castillo-Castañeda;Marina Muñoz;Carlos Muskus;Matilde Rivero-Rodríguez;Alveiro Pérez-Doria;Eduar Elías Bejarano;Juan David Ramírez"
"https://doi.org/10.1101/2021.02.16.430500",2021,"Meng Yuan;Deli Huang;Chang‐Chun D. Lee;Nicholas C. Wu;Abigail M. Jackson;Xueyong Zhu;Hejun Liu;Linghang Peng;Marit J. van Gils;Rogier W. Sanders;Dennis R. Burton;S. Momsen Reincke;Harald Prüß;Jakob Kreye;David Nemazee;Andrew B. Ward;Ian A. Wilson"
"https://doi.org/10.1101/2021.03.03.21252824",2021,"Nanditha Mallesh;Max Zhao;Lisa Meintker;Alexander Höllein;F. Elsner;Hannes Lüling;Torsten Haferlach;Wolfgang Kern;Jörg Westermann;Peter Brossart;Stefan W. Krause;Peter Krawitz"
"https://doi.org/10.1101/2021.04.07.21255071",2021,"Maia Salholz-Hillel;Peter Grabitz;Molly Pugh-Jones;Daniel Strech;Nicholas DeVito"
"https://doi.org/10.1101/2022.04.20.22274046",2022,"Laura Sánchez‐Rivera;María Jesús Iglesias;Manal Ibrahim‐Kosta;Julia B. Kral‐Pointner;Sebastian Havervall;Louisa Goumidi;Maria Farm;Gaëlle Munsch;Marine Germain;Philip B. Smith;Mun‐Gwan Hong;Pierre Suchon;Clément Naudin;Anne Boland;David M. Smadja;Margareta Holmström;Maria Magnusson;Angela Silveira;Mathias Uhlén;Thomas Renné;Ángel Martínez-Pérez;Joseph Emmerich;Jean‐François Deleuze;Jovan Antović;Alice Assinger;José Manuel Soria;Charlotte Thålin;Jochen M. Schwenk;Juan Carlos Souto Andres;Pierre‐Emmanuel Morange;Lynn M. Butler;David‐Alexandre Trégouët;Jacob Odeberg"
"https://doi.org/10.1101/2022.05.13.491903",2022,"Mustafa S. Salman;Eric Verner;H. Jeremy Bockholt;Zening Fu;Maria Misiura;Bradley T. Baker;Elizabeth Osuch;Jing Sui;Vince D. Calhoun"
